"","Gender","Age","Educational_Attainment","Industry","Country","Year","Employment_Rate","Population","Industry_name","Country_Name","Educational_Attainment_FullForm","Gender_Pay_Gap","Educational_Field","Educational_Level","sex","Number_of_Student"
"17","Male","Y30-54","ED5-8","B-N","AT",2015,93.1,4.7,"Business economy","Austria","Tertiary education (levels 5-8)",8.2,"Biological science","Master","M",776
"39","Female","Y20-24","ED5-8","E","DK",2018,72.2,8.8,"Water supply; sewerage, waste management and remediation activities","Denmark","Tertiary education (levels 5-8)",17.4,"Biological science","Master","F",2286
"44","Male","Y20-24","ED3_4GEN","B-N","DK",2017,63.9,20.5,"Business economy","Denmark","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",17.3,"
Mathematics","Master","F",206
"47","Female","Y55-64","ED0-2","L","FI",2015,43.5,37,"Real estate activities","Finland","Less than primary, primary and lower secondary education (levels 0-2)",9.9,"
Information Technologies","Bachelor","M",17465
"62","Male","Y20-24","ED5-8","B-N","DE",2017,68.7,21.9,"Business economy","Germany","Tertiary education (levels 5-8)",4.2,"Engineering and construction","Bachelor","F",91332
"93","Female","Y20-24","ED3_4GEN","D","DK",2015,67.1,34,"Electricity, gas, steam and air conditioning supply","Denmark","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",20.6,"Software development","Master","M",0
"96","Female","Y20-29","ED3_4GEN","H","IT",2018,22.7,25,"Transportation and storage","Italy","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",9.3,"Biological science","Bachelor","M",13562
"107","Female","Y15-64","ED5-8","B-N","DK",2017,83.3,34.8,"Business economy","Denmark","Tertiary education (levels 5-8)",10.4,"Software development","Doctor","F",0
"109","Female","Y55-64","ED0-2","M","NL",2015,38.3,52.6,"Professional, scientific and technical activities","Netherlands","Less than primary, primary and lower secondary education (levels 0-2)",11.8,"Software development","Bachelor","M",16074
"131","Male","Y20-24","ED0-2","R","FI",2018,33.8,44,"Arts, entertainment and recreation","Finland","Less than primary, primary and lower secondary education (levels 0-2)",3.2,"Engineering and construction","Master","F",2586
"140","Male","Y20-29","ED0-2","B-N","DK",2020,57.6,14,"Business economy","Denmark","Less than primary, primary and lower secondary education (levels 0-2)",9.5,"Engineering and construction","Bachelor","M",17565
"146","Female","Y20-24","ED0-2","D","NL",2016,55.9,16.6,"Electricity, gas, steam and air conditioning supply","Netherlands","Less than primary, primary and lower secondary education (levels 0-2)",22.9,"Engineering and construction","Master","F",3138
"160","Male","Y20-24","ED0-2","R","DK",2019,59.4,19.2,"Arts, entertainment and recreation","Denmark","Less than primary, primary and lower secondary education (levels 0-2)",16,"
Mathematics","Doctor","M",0
"166","Female","Y55-64","ED3_4GEN","M","FI",2021,66.6,24,"Professional, scientific and technical activities","Finland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",11.4,"
Information Technologies","Bachelor","F",4829
"211","Male","Y55-64","ED5-8","B-N","PL",2016,76.9,45.3,"Business economy","Poland","Tertiary education (levels 5-8)",-4.2,"Biological science","Doctor","M",638
"212","Male","Y55-64","ED0-2","B-N","PL",2015,36.1,17.5,"Business economy","Poland","Less than primary, primary and lower secondary education (levels 0-2)",-13.3,"
Mathematics","Master","F",3045
"224","Female","Y20-24","ED0-2","C","AT",2017,49.9,10.6,"Manufacturing","Austria","Less than primary, primary and lower secondary education (levels 0-2)",23.7,"Software development","Doctor","M",1
"235","Male","Y20-29","ED3_4GEN","B-N","EL",2018,33.9,3.4,"Business economy","Greece","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",10.2,"Engineering and construction","Bachelor","F",40671
"260","Female","Y20-24","ED3_4GEN","E","PL",2018,34.6,44.6,"Water supply; sewerage, waste management and remediation activities","Poland","Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general",8.3,"
Mathematics","Bachelor","F",3865
